"165","216","3","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
3,22,12,7,9,1,8,9,84,33,25,7,0,0,5,0,"2023-04-20 13:00:01","1150","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1150/LRP.json"
4,13,7,10,5,4,11,6,104,29,27,8,0,0,3,0,"2023-04-21 13:25:01","1151","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1151/LRP.json"
9,33,6,9,8,2,12,5,66,33,26,6,0,0,6,0,"2023-04-20 11:25:01","1152","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1152/LRP.json"
2,15,10,7,6,4,13,9,93,29,22,10,0,0,5,0,"2023-04-21 11:25:01","1153","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1153/LRP.json"
8,25,5,9,3,4,10,6,91,35,14,4,0,0,3,0,"2023-04-20 13:25:01","1154","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1154/LRP.json"
9,17,17,13,13,1,5,10,60,56,39,5,0,0,5,0,"2023-04-20 10:25:02","1123","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1123/LRP.json"
10,25,17,16,9,1,17,5,55,46,33,6,0,0,14,0,"2023-04-20 11:00:01","1124","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1124/LRP.json"
4,30,13,7,7,2,14,7,42,60,48,8,0,0,4,0,"2023-04-21 13:25:01","1125","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1125/LRP.json"
4,29,23,17,9,4,10,10,48,57,42,9,0,0,6,0,"2023-04-20 10:25:02","1126","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1126/LRP.json"
5,24,13,12,4,2,14,13,51,56,44,10,0,0,11,0,"2023-04-21 13:25:01","1127","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1127/LRP.json"
4,17,5,5,11,6,17,9,75,61,29,6,0,0,8,0,"2023-04-20 11:25:01","1196","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1196/LRP.json"
9,28,6,10,10,0,19,14,54,59,33,8,0,0,9,0,"2023-04-20 13:00:01","1197","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1197/LRP.json"
7,26,9,18,2,2,16,13,67,44,26,23,0,0,0,0,"2023-04-22 10:25:01","1198","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1198/LRP.json"
10,20,10,12,7,5,18,9,52,54,40,9,0,0,8,0,"2023-04-22 10:25:01","1199","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1199/LRP.json"
4,22,10,10,7,1,4,16,72,42,33,22,0,0,10,0,"2023-04-22 10:25:01","1200","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1200/LRP.json"
5,16,8,8,9,2,8,5,41,37,27,2,0,0,6,0,"2023-04-20 13:00:01","1201","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1201/LRP.json"
3,20,4,7,3,1,11,5,42,32,30,11,0,0,2,0,"2023-04-20 12:25:01","1202","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1202/LRP.json"
0,21,9,10,6,5,12,8,53,53,45,7,0,0,1,0,"2023-04-20 13:00:01","1239","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1239/LRP.json"
8,27,7,17,12,0,16,15,62,51,32,8,0,0,9,0,"2023-04-21 11:25:01","1240","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1240/LRP.json"
6,18,10,8,4,2,18,15,53,55,44,10,0,0,7,0,"2023-04-20 15:00:01","1241","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1241/LRP.json"
4,21,8,14,6,4,18,8,54,71,32,9,0,0,13,0,"2023-04-20 15:25:01","1242","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1242/LRP.json"
4,29,13,12,10,1,25,20,38,68,21,13,0,0,7,0,"2023-04-21 12:25:01","1243","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1243/LRP.json"
7,20,15,19,10,3,11,14,41,58,36,10,0,0,5,0,"2023-04-20 15:00:01","1244","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1244/LRP.json"
4,20,17,9,8,1,20,10,64,37,36,8,0,0,8,0,"2023-04-21 11:25:01","1245","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1245/LRP.json"
2,26,3,12,11,7,10,14,51,64,38,14,0,0,8,0,"2023-04-20 12:00:01","1246","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1246/LRP.json"
6,21,14,3,12,0,15,15,102,31,39,6,0,0,7,0,"2023-04-21 13:25:01","1108","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1108/LRP.json"
6,30,9,12,13,1,24,14,69,46,28,8,0,0,11,0,"2023-04-20 10:25:02","1109","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1109/LRP.json"
2,18,10,3,11,2,23,16,74,45,24,4,0,0,16,0,"2023-04-20 11:00:01","1110","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1110/LRP.json"
8,22,13,9,8,4,13,12,76,60,36,4,0,0,8,0,"2023-04-20 11:25:01","1111","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1111/LRP.json"
9,16,6,7,9,3,8,5,81,45,33,6,0,0,18,0,"2023-04-20 11:25:01","1112","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1112/LRP.json"
4,38,8,8,4,0,40,10,71,44,26,9,0,0,5,0,"2023-04-20 11:25:01","1113","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1113/LRP.json"
3,28,10,5,5,0,9,8,43,30,22,6,0,0,9,0,"2023-04-20 11:25:01","1114","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1114/LRP.json"
4,26,21,16,8,5,8,9,69,44,30,11,0,0,5,0,"2023-04-20 11:25:01","1169","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1169/LRP.json"
3,22,12,9,8,3,9,8,74,47,37,11,0,0,3,0,"2023-04-20 11:25:01","1170","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1170/LRP.json"
6,22,15,6,5,1,9,8,84,47,25,7,0,0,7,0,"2023-04-21 10:25:01","1171","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1171/LRP.json"
2,18,6,10,5,1,18,6,81,59,22,4,0,0,8,0,"2023-04-20 11:25:01","1172","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1172/LRP.json"
6,23,13,9,6,3,12,10,60,46,19,13,0,0,10,0,"2023-04-20 11:00:01","1173","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1173/LRP.json"
3,24,8,9,7,5,15,15,75,41,35,4,0,0,4,0,"2023-04-20 12:25:01","1174","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1174/LRP.json"
5,21,17,14,8,5,14,12,51,50,35,6,0,0,12,0,"2023-04-20 12:25:01","1221","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1221/LRP.json"
5,35,9,10,11,2,32,5,30,59,37,7,0,0,6,0,"2023-04-20 13:25:01","1222","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1222/LRP.json"
3,25,7,14,7,5,13,11,50,59,39,14,0,0,6,0,"2023-04-20 13:00:01","1223","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1223/LRP.json"
6,18,8,19,6,2,8,12,66,44,37,7,0,0,13,0,"2023-04-20 13:00:01","1224","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1224/LRP.json"
6,25,9,4,5,2,24,7,61,50,46,17,0,0,0,0,"2023-04-20 13:00:01","1225","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1225/LRP.json"
4,21,10,9,6,5,21,15,59,50,33,8,0,0,5,0,"2023-04-20 12:25:01","1226","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1226/LRP.json"
