"165","216","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
7,21,12,8,2,9,9,36,53,38,7,0,2,8,0,"2023-04-16 21:45:02","1233","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1233/GOB.json"
8,26,13,10,12,17,7,44,47,57,3,0,0,5,0,"2023-04-16 21:55:01","1234","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1234/GOB.json"
6,25,16,8,1,21,22,53,46,44,10,0,0,7,0,"2023-04-16 22:10:01","1235","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1235/GOB.json"
2,19,14,8,2,25,17,60,66,38,3,1,0,15,0,"2023-04-16 22:25:02","1236","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1236/GOB.json"
5,20,12,12,4,19,13,66,55,43,7,0,0,4,0,"2023-04-16 22:10:01","1237","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1237/GOB.json"
2,21,16,9,0,23,17,47,53,54,2,0,0,10,0,"2023-04-16 22:10:01","1238","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1238/GOB.json"
0,20,18,6,4,19,12,35,62,57,9,0,0,11,0,"2023-04-16 21:45:02","1287","https://rionegro.datosoficiales.com/resultados/RN/1/2903/2/1287/GOB.json"
6,28,7,9,0,16,22,40,61,58,7,0,0,4,0,"2023-04-16 21:30:01","1288","https://rionegro.datosoficiales.com/resultados/RN/1/2903/2/1288/GOB.json"
7,26,8,6,5,25,21,44,52,59,3,0,0,7,0,"2023-04-16 21:40:01","1290","https://rionegro.datosoficiales.com/resultados/RN/1/2903/2/1290/GOB.json"
9,19,10,11,2,36,15,34,67,40,8,0,0,2,0,"2023-04-16 21:30:01","1291","https://rionegro.datosoficiales.com/resultados/RN/1/2903/2/1291/GOB.json"
7,23,8,7,6,27,16,38,57,65,11,0,0,9,0,"2023-04-16 21:35:01","1292","https://rionegro.datosoficiales.com/resultados/RN/1/2903/2/1292/GOB.json"
