"216","3","424","425","426","427","428","429","430","431","BLC","IMP","NUL","REC","hora_proceso","numero","url"
17,6,6,11,6,,9,76,60,45,9,0,8,0,"2023-04-20 11:25:01","1196","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1196/LEC.json"
28,6,10,10,1,,14,53,59,54,16,0,8,0,"2023-04-20 13:00:01","1197","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1197/LEC.json"
26,9,17,1,2,,13,67,44,42,23,0,0,0,"2023-04-22 10:25:01","1198","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1198/LEC.json"
21,10,12,7,5,,9,50,54,58,20,0,8,0,"2023-04-22 10:25:01","1199","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1199/LEC.json"
22,10,10,7,1,,16,70,41,45,21,0,10,0,"2023-04-22 10:25:01","1200","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1200/LEC.json"
17,8,7,9,2,,5,41,38,35,6,0,6,0,"2023-04-20 13:00:01","1201","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1201/LEC.json"
20,4,7,3,3,,6,42,32,41,11,0,2,0,"2023-04-20 12:25:01","1202","https://rionegro.datosoficiales.com/resultados/RN/1/2903/14/1202/LEC.json"
21,9,10,6,5,,8,53,52,57,8,0,1,0,"2023-04-20 13:00:01","1239","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1239/LEC.json"
27,7,17,12,0,,15,62,50,47,18,0,9,0,"2023-04-21 11:25:01","1240","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1240/LEC.json"
18,10,8,4,2,,14,53,54,60,19,0,8,0,"2023-04-20 15:00:01","1241","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1241/LEC.json"
21,8,14,6,4,,8,54,71,33,31,0,12,0,"2023-04-20 15:25:01","1242","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1242/LEC.json"
30,13,12,10,3,,21,38,65,46,16,0,7,0,"2023-04-21 12:25:01","1243","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1243/LEC.json"
20,13,19,10,3,,14,42,58,48,18,0,5,0,"2023-04-20 15:00:01","1244","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1244/LEC.json"
20,17,9,9,1,,10,64,37,55,12,0,8,0,"2023-04-21 11:25:01","1245","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1245/LEC.json"
26,4,12,11,7,,14,51,64,43,20,0,8,0,"2023-04-20 12:00:01","1246","https://rionegro.datosoficiales.com/resultados/RN/1/2903/15/1246/LEC.json"
21,14,4,12,0,,18,103,31,48,11,0,7,0,"2023-04-21 13:25:01","1108","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1108/LEC.json"
29,10,11,13,1,,14,71,46,54,11,0,11,0,"2023-04-20 10:25:02","1109","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1109/LEC.json"
19,8,6,11,2,,18,73,44,53,0,0,14,0,"2023-04-20 11:00:01","1110","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1110/LEC.json"
22,14,8,8,4,,11,77,61,36,24,0,8,0,"2023-04-20 11:25:01","1111","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1111/LEC.json"
16,6,1,9,3,,5,80,48,40,20,0,18,0,"2023-04-20 11:25:01","1112","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1112/LEC.json"
38,9,7,4,0,,10,70,44,64,15,0,6,0,"2023-04-20 11:25:01","1113","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1113/LEC.json"
28,9,5,5,0,,8,43,31,30,9,0,9,0,"2023-04-20 11:25:01","1114","https://rionegro.datosoficiales.com/resultados/RN/1/2903/16/1114/LEC.json"
26,21,16,8,5,,9,69,45,39,13,0,5,0,"2023-04-20 11:25:01","1169","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1169/LEC.json"
22,12,9,8,4,,6,74,48,44,16,0,3,0,"2023-04-20 11:25:01","1170","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1170/LEC.json"
20,16,5,5,0,,8,85,46,36,14,0,7,0,"2023-04-21 10:25:01","1171","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1171/LEC.json"
