"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
5,5,20,92,6,95,5,6,0,0,8,0,"2019-04-12 17:35:02","489","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/489/LRP.json"
4,4,20,89,5,92,7,0,0,0,6,0,"2019-04-12 17:35:02","490","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/490/LRP.json"
2,2,20,91,2,99,5,6,0,0,4,0,"2019-04-12 17:35:02","491","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/491/LRP.json"
7,5,22,71,9,101,12,10,0,0,12,0,"2019-04-12 17:35:02","492","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/492/LRP.json"
7,2,11,85,4,122,8,2,0,0,8,0,"2019-04-12 17:35:02","493","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/493/LRP.json"
4,8,17,76,12,125,7,2,0,0,8,0,"2019-04-12 17:35:02","494","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/494/LRP.json"
0,4,25,70,17,125,15,1,0,0,11,0,"2019-04-12 17:35:02","495","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/495/LRP.json"
5,5,12,72,14,132,16,11,0,0,11,0,"2019-04-12 17:35:02","496","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/496/LRP.json"
9,12,17,74,17,101,7,7,0,0,3,0,"2019-04-12 17:35:02","497","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/15/497/LRP.json"
2,1,5,45,8,90,27,4,0,0,4,0,"2019-04-12 17:35:02","498","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/498/LRP.json"
1,3,1,46,10,82,31,6,0,0,4,0,"2019-04-12 17:35:02","499","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/499/LRP.json"
3,3,3,32,6,81,27,4,0,0,5,0,"2019-04-12 17:35:02","500","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/500/LRP.json"
1,3,5,36,4,86,34,5,0,0,2,0,"2019-04-12 17:35:02","501","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/501/LRP.json"
2,7,4,40,8,90,22,6,0,0,0,0,"2019-04-12 17:35:02","502","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/502/LRP.json"
3,1,1,46,5,100,15,3,0,0,8,0,"2019-04-12 17:35:02","503","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/503/LRP.json"
3,2,2,28,5,97,36,1,0,0,5,0,"2019-04-12 17:35:02","504","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/16/504/LRP.json"
