"102","104","1539","1547","1548","1549","1550","20","30","31","524","8","BLC","IMP","NUL","REC","hora_proceso","numero","url"
4,1,0,8,77,20,76,1,22,0,14,0,8,0,1,0,"2019-05-12 22:25:01","132","http://www.datosoficiales.com/resultados/CO/1/112/11/132/GOB.json"
3,5,1,10,103,13,81,0,18,2,14,1,6,0,4,1,"2019-05-12 21:50:01","133","http://www.datosoficiales.com/resultados/CO/1/112/11/133/GOB.json"
0,1,0,5,70,15,76,1,25,0,14,0,3,0,2,0,"2019-05-12 21:35:02","134","http://www.datosoficiales.com/resultados/CO/1/112/11/134/GOB.json"
5,3,2,12,55,13,93,3,16,1,20,1,5,0,4,0,"2019-05-12 22:55:02","135","http://www.datosoficiales.com/resultados/CO/1/112/11/135/GOB.json"
4,3,3,4,84,13,77,1,23,2,22,0,7,0,5,0,"2019-05-12 21:55:01","136","http://www.datosoficiales.com/resultados/CO/1/112/11/136/GOB.json"
5,5,0,6,76,15,75,3,16,0,20,0,2,0,1,0,"2019-05-12 22:55:02","137","http://www.datosoficiales.com/resultados/CO/1/112/11/137/GOB.json"
9,4,1,11,71,9,78,1,21,1,18,0,9,0,2,0,"2019-05-12 23:00:01","138","http://www.datosoficiales.com/resultados/CO/1/112/11/138/GOB.json"
2,6,0,7,54,13,98,2,17,0,15,0,8,0,1,0,"2019-05-12 22:45:02","139","http://www.datosoficiales.com/resultados/CO/1/112/11/139/GOB.json"
5,5,1,9,65,17,100,2,16,2,20,0,4,0,0,1,"2019-05-12 23:25:01","140","http://www.datosoficiales.com/resultados/CO/1/112/11/140/GOB.json"
6,2,1,9,56,15,99,6,26,2,21,1,2,0,3,0,"2019-05-12 21:45:01","141","http://www.datosoficiales.com/resultados/CO/1/112/11/141/GOB.json"
4,5,0,10,70,14,68,1,29,0,18,0,7,0,4,0,"2019-05-12 23:40:01","142","http://www.datosoficiales.com/resultados/CO/1/112/11/142/GOB.json"
3,3,0,5,72,18,70,1,19,1,13,0,3,0,9,1,"2019-05-12 23:15:01","143","http://www.datosoficiales.com/resultados/CO/1/112/11/143/GOB.json"
6,0,0,7,61,13,85,2,19,0,23,0,8,0,9,0,"2019-05-12 23:00:01","144","http://www.datosoficiales.com/resultados/CO/1/112/11/144/GOB.json"
5,2,1,5,60,19,90,5,16,0,10,0,5,0,6,0,"2019-05-12 21:55:01","145","http://www.datosoficiales.com/resultados/CO/1/112/11/145/GOB.json"
2,7,0,5,53,15,101,2,29,1,36,1,4,0,7,0,"2019-05-12 21:30:01","1253","http://www.datosoficiales.com/resultados/CO/1/112/110/1253/GOB.json"
5,9,2,10,65,13,87,10,26,1,12,0,7,0,6,0,"2019-05-12 22:30:01","1254","http://www.datosoficiales.com/resultados/CO/1/112/110/1254/GOB.json"
6,2,0,4,53,7,106,5,37,0,14,0,16,0,0,0,"2019-05-12 22:40:01","1255","http://www.datosoficiales.com/resultados/CO/1/112/110/1255/GOB.json"
0,5,0,7,66,16,94,2,35,1,26,0,12,0,4,0,"2019-05-12 23:40:01","1256","http://www.datosoficiales.com/resultados/CO/1/112/110/1256/GOB.json"
3,8,0,2,72,14,110,4,16,1,26,0,10,0,4,0,"2019-05-12 23:20:01","1257","http://www.datosoficiales.com/resultados/CO/1/112/110/1257/GOB.json"
2,6,0,2,66,13,106,3,28,0,12,0,8,0,9,0,"2019-05-12 22:50:01","1258","http://www.datosoficiales.com/resultados/CO/1/112/110/1258/GOB.json"
5,7,0,4,66,16,101,3,28,0,22,0,10,0,14,0,"2019-05-12 21:45:01","1259","http://www.datosoficiales.com/resultados/CO/1/112/110/1259/GOB.json"
2,6,1,8,56,11,98,0,28,1,28,1,14,0,6,0,"2019-05-13 00:20:01","1260","http://www.datosoficiales.com/resultados/CO/1/112/110/1260/GOB.json"
1,4,3,9,53,12,124,5,16,0,12,0,14,7,2,6,"2019-05-12 23:10:01","1261","http://www.datosoficiales.com/resultados/CO/1/112/110/1261/GOB.json"
1,9,0,4,76,14,86,3,18,1,25,0,3,0,10,0,"2019-05-12 22:50:01","1262","http://www.datosoficiales.com/resultados/CO/1/112/110/1262/GOB.json"
3,8,1,5,62,19,105,2,32,1,13,1,8,0,5,0,"2019-05-12 23:20:01","1263","http://www.datosoficiales.com/resultados/CO/1/112/110/1263/GOB.json"
