"1","151","166","190","191","50","682","683","684","863","868","883","884","885","889","891","895","901","915","917","918","919","920","922","923","924","925","BLC","IMP","OBS","hora_proceso","numero","url"
1,10,4,31,45,2,26,4,7,2,4,7,4,23,2,4,3,5,4,7,1,1,8,8,3,5,5,19,0,0,"2023-09-03 18:40:01","20","https://plottier.datosoficiales.com/resultados/PL/756/20/CON.json"
1,14,4,29,48,2,22,10,13,1,5,6,3,14,4,3,9,3,6,4,3,3,17,11,7,1,5,6,0,0,"2023-09-03 18:40:01","21","https://plottier.datosoficiales.com/resultados/PL/756/21/CON.json"
0,3,3,29,55,4,29,10,10,9,12,8,9,17,4,3,12,6,1,5,5,2,9,5,5,0,2,5,0,0,"2023-09-03 18:40:01","22","https://plottier.datosoficiales.com/resultados/PL/756/22/CON.json"
1,12,2,16,44,1,25,6,8,3,6,6,3,11,1,10,7,9,6,8,6,3,12,7,6,3,9,13,0,0,"2023-09-03 18:40:01","23","https://plottier.datosoficiales.com/resultados/PL/756/23/CON.json"
2,8,3,44,45,4,12,4,1,9,1,10,13,20,9,9,4,7,4,7,1,0,10,16,6,4,3,9,0,0,"2023-09-03 18:50:01","30","https://plottier.datosoficiales.com/resultados/PL/757/30/CON.json"
7,7,2,35,53,5,23,12,2,6,8,8,3,24,2,3,9,4,8,10,3,1,11,3,5,3,2,11,0,0,"2023-09-03 18:45:01","31","https://plottier.datosoficiales.com/resultados/PL/757/31/CON.json"
3,7,2,31,44,7,21,7,5,4,7,8,6,14,5,4,8,10,4,6,3,1,17,8,4,4,7,7,0,1,"2023-09-03 18:50:01","32","https://plottier.datosoficiales.com/resultados/PL/757/32/CON.json"
3,9,4,42,45,7,22,10,8,2,7,6,6,16,2,6,6,8,8,4,2,1,6,11,9,2,4,8,0,0,"2023-09-03 18:45:01","33","https://plottier.datosoficiales.com/resultados/PL/757/33/CON.json"
2,8,3,39,37,5,18,5,7,3,6,10,4,20,2,7,6,9,9,3,3,1,11,11,6,4,7,4,0,0,"2023-09-03 18:40:01","34","https://plottier.datosoficiales.com/resultados/PL/757/34/CON.json"
2,16,0,39,44,3,16,8,4,6,5,9,1,25,3,7,4,8,3,5,2,0,14,11,9,4,7,1,0,0,"2023-09-03 19:00:01","35","https://plottier.datosoficiales.com/resultados/PL/757/35/CON.json"
