"totalMesas","mesasPublicadas","blancos","nulos","totalVotos","canElectores","canElectoresPublicados","nocomputados","tipCandidatura",1,3,7,10,14,15,21,23,30,33,45,777,911,"hora","horaequipo"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:03:55","01-05-2023 23:05:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:07:55","01-05-2023 23:10:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:13:55","01-05-2023 23:15:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:17:55","01-05-2023 23:20:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:23:54","01-05-2023 23:25:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:27:55","01-05-2023 23:30:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:33:55","01-05-2023 23:35:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:37:54","01-05-2023 23:40:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:43:54","01-05-2023 23:45:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:47:54","01-05-2023 23:50:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:53:54","01-05-2023 23:55:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 22:57:54","02-05-2023 00:00:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:03:54","02-05-2023 00:05:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:07:54","02-05-2023 00:10:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:13:54","02-05-2023 00:15:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:17:55","02-05-2023 00:20:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:23:54","02-05-2023 00:25:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:27:54","02-05-2023 00:30:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:33:54","02-05-2023 00:35:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:37:55","02-05-2023 00:40:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:43:54","02-05-2023 00:45:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:47:54","02-05-2023 00:50:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:53:54","02-05-2023 00:55:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 23:57:54","02-05-2023 01:00:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"02-05-2023 00:03:54","02-05-2023 01:05:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"02-05-2023 00:07:54","02-05-2023 01:10:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"02-05-2023 00:13:54","02-05-2023 01:15:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"02-05-2023 00:17:54","02-05-2023 01:20:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"02-05-2023 00:23:55","02-05-2023 01:25:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"02-05-2023 00:27:54","02-05-2023 01:30:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"02-05-2023 00:33:55","02-05-2023 01:35:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"02-05-2023 00:37:54","02-05-2023 01:40:02"
