"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Córdoba","CO"
"Departamento","Capital","CO.1"
"Mesa","575","CO.1.544.365.575"
"Mesa","576","CO.1.544.365.576"
"Localidad","Bajada De Piedra (Circ. 6A)","CO.1.545"
"Establecimiento","ESC MUNICIPAL DR A SOBRAL","CO.1.545.366"
"Mesa","585","CO.1.545.366.585"
"Mesa","586","CO.1.545.366.586"
"Localidad","Chacra De La Merced (Circ. 6B)","CO.1.546"
"Establecimiento","ESC VAN GELDEREN","CO.1.546.367"
"Mesa","587","CO.1.546.367.587"
"Localidad","Gral Paz (Circ. 6C)","CO.1.547"
"Establecimiento","ESC SGO DE LAS CARRERAS","CO.1.547.368"
"Mesa","604","CO.1.547.368.604"
"Mesa","605","CO.1.547.368.605"
"Mesa","606","CO.1.547.368.606"
"Mesa","607","CO.1.547.368.607"
"Mesa","608","CO.1.547.368.608"
"Establecimiento","ESC RAMON J CARCANO","CO.1.547.369"
"Mesa","588","CO.1.547.369.588"
"Mesa","589","CO.1.547.369.589"
"Mesa","590","CO.1.547.369.590"
"Mesa","591","CO.1.547.369.591"
"Mesa","592","CO.1.547.369.592"
"Mesa","593","CO.1.547.369.593"
"Mesa","594","CO.1.547.369.594"
"Mesa","595","CO.1.547.369.595"
"Establecimiento","ESC PIAS","CO.1.547.370"
"Mesa","617","CO.1.547.370.617"
"Mesa","618","CO.1.547.370.618"
"Mesa","619","CO.1.547.370.619"
"Mesa","620","CO.1.547.370.620"
"Mesa","621","CO.1.547.370.621"
"Mesa","622","CO.1.547.370.622"
"Mesa","623","CO.1.547.370.623"
"Establecimiento","ESC NORMAL GARZON AGULLA","CO.1.547.371"
"Mesa","596","CO.1.547.371.596"
"Mesa","597","CO.1.547.371.597"
"Mesa","598","CO.1.547.371.598"
"Mesa","599","CO.1.547.371.599"
"Mesa","600","CO.1.547.371.600"
"Mesa","601","CO.1.547.371.601"
"Mesa","602","CO.1.547.371.602"
"Mesa","603","CO.1.547.371.603"
"Establecimiento","IPET N°10 COM MARTIN RIVADAVIA","CO.1.547.372"
"Mesa","609","CO.1.547.372.609"
"Mesa","610","CO.1.547.372.610"
"Mesa","611","CO.1.547.372.611"
"Mesa","612","CO.1.547.372.612"
"Mesa","613","CO.1.547.372.613"
"Mesa","614","CO.1.547.372.614"
"Mesa","615","CO.1.547.372.615"
"Mesa","616","CO.1.547.372.616"
"Localidad","Juniors (Circ. 6D)","CO.1.548"
"Establecimiento","ESC NUEVO SIGLO","CO.1.548.373"
"Mesa","639","CO.1.548.373.639"
"Mesa","640","CO.1.548.373.640"
